êîäw,óùâ»,âpåÍ,çëåÍ,é–âÔ
85,66,59,70,85
77,82,64,75,72
71,81,83,74,69
55,75,63,88,80
65,69,61,83,59
88,70,74,92,84
74,103,75,80,70
88,80,75,61,71
80,78,70,63,77
84,80,82,83,54
66,74,86,83,76
73,68,89,86,70
64,83,87,77,74
71,74,68,72,73
67,78,69,73,89
85,92,70,79,69
76,89,79,73,76
78,67,90,61,64
78,71,51,71,64
71,76,65,90,77
74,85,78,68,71
81,73,83,87,78
81,85,85,63,74
65,91,91,82,82
86,69,77,69,89
123,92,55,63,74
85,70,54,74,71
80,77,90,71,71
76,82,67,99,91
63,76,87,74,75
93,76,76,73,76
76,67,77,56,83
92,67,75,88,102
64,72,65,71,82
92,88,78,79,84
81,100,86,69,76
78,60,79,65,70
85,64,81,70,80
80,88,62,74,73
93,78,72,82,82
